Episode,Reward
1,-1350060039.5365143
2,-550089786.6921672
3,-600089790.7342505
4,-350100270.5356598
5,-100108698.58991672
6,-100109297.93209158
7,-50111703.69017305
8,-50110745.07446334
9,-50111755.323559225
10,-550096872.659118
11,-113006.06898148917
12,-112538.94337947348
13,-1650048349.0103257
14,-113304.585570373
15,-113142.68563122298
16,-113166.12135322246
17,-50111928.09765166
18,-113143.18795868898
19,-50110328.199476786
20,-113304.585570373
21,-113154.585570373
22,-113154.585570373
23,-113154.585570373
24,-112982.55082424486
25,-50110580.75296648
26,-300097497.1842419
27,-112587.4166623532
28,-550082936.6685871
29,-50110418.04051555
30,-112714.45506552869
31,-1100058696.7718627
32,-50111468.180574276
33,-113154.585570373
34,-113154.585570373
35,-100108052.0893239
36,-1150057185.1597056
37,-50110457.495393425
38,-112550.77498812274
39,-112381.43267817845
40,-112379.85938084028
41,-112379.85938084028
42,-112385.8615501561
43,-112688.42744304551
44,-113154.58557037299
45,-113154.585570373
46,-100109950.17878157
47,-112577.9179390508
48,-112379.85938084028
49,-350092995.7916694
50,-113097.7551289292
51,-113006.06898148917
52,-113006.06898148917
53,-113006.06898148915
54,-113041.78326720344
55,-113154.58557037299
56,-112559.9898856846
57,-112379.85938084028
58,-50109982.27330321
59,-300105782.05822355
60,-900066568.1802142
61,-113103.41781504774
62,-113154.58557037302
63,-113154.58557037302
64,-113154.58557037302
65,-113154.58557037302
66,-50110724.25338811
67,-113154.58557037302
68,-113154.58557037302
69,-113154.58557037302
70,-150107711.93505788
71,-113154.58557037302
72,-113154.58557037302
73,-113154.58557037302
74,-50111163.826461196
75,-112709.31039639347
76,-112379.85938084028
77,-50110501.5065336
78,-112488.88941584837
79,-112379.85938084028
80,-100108577.70869327
81,-112379.85938084028
82,-50110585.3677187
83,-112379.85938084028
84,-50109733.44931238
85,-50111021.73029405
86,-112379.85938084028
87,-112379.85938084028
88,-50110357.1899258
89,-112379.85938084028
90,-112379.85938084028
91,-112379.85938084028
92,-112874.14381310272
93,-112379.85938084028
94,-100110395.05024865
95,-112687.52910790683
96,-112938.7407798144
97,-113006.06898148917
98,-50111733.598353446
99,-113006.06898148917
100,-113006.06898148917
101,-50110858.798306696
102,-113006.06898148917
103,-50111094.96967672
104,-113006.06898148917
105,-112843.93397075805
106,-112529.58873733724
107,-112529.58873733724
108,-112543.47765792653
109,-112529.58873733724
110,-112545.51670022737
111,-50111273.22714138
112,-112529.58873733724
113,-112529.58873733724
114,-112548.40831352088
115,-112529.58873733724
116,-112379.85938084028
117,-112529.58873733724
118,-50110173.91090231
119,-112529.58873733724
120,-112545.53469150634
121,-112529.58873733724
122,-50110382.31806254
123,-112529.58873733724
124,-112556.39427897711
125,-112529.58873733724
126,-50110099.256555066
127,-112529.58873733724
128,-112529.58873733724
129,-112529.58873733724
130,-112529.58873733724
131,-112529.58873733724
132,-112529.58873733724
133,-112529.50402773813
134,-112529.58873733724
135,-112529.58873733724
136,-112529.58873733724
137,-112543.47765792653
138,-50110294.56998174
139,-50110709.47279995
140,-112529.58873733724
141,-112529.58873733724
142,-112529.58873733724
143,-112543.26504286837
144,-112529.58873733724
145,-112529.58873733724
146,-112529.58873733724
147,-113278.10154360163
148,-112856.916939012
149,-112529.58873733724
150,-112550.93390026718
151,-112529.58873733724
152,-112556.14198810564
153,-112563.55025416779
154,-112529.58873733724
155,-50109712.35827285
156,-112529.58873733724
157,-112550.67339847045
158,-112554.5960154286
159,-112534.07235886245
160,-50109841.80503207
161,-50111271.26329511
162,-112529.58873733724
163,-112529.58873733724
164,-112529.58873733724
165,-112529.58873733724
166,-112529.58873733724
167,-112543.26504286837
168,-112575.57496133064
169,-112529.58873733724
170,-112529.58873733724
171,-112529.58873733724
172,-112529.58873733724
173,-112533.39600933385
174,-112529.58873733724
175,-112529.58873733724
176,-112533.39600933385
177,-50110343.93403391
178,-112529.58873733724
179,-112529.58873733724
180,-112529.58873733724
181,-112492.01241282074
182,-112517.62655801645
183,-112529.58873733724
184,-112529.46172056616
185,-112535.12048411054
186,-112529.58873733724
187,-50110294.56998174
188,-50109769.1635981
189,-50110516.4469712
190,-112390.03738377204
191,-112379.85938084028
192,-112379.85938084028
193,-112379.85938084028
194,-112379.85938084028
195,-112379.85938084028
196,-112379.85938084028
197,-112390.79348269585
198,-50110709.55975962
199,-113157.74234961628
200,-112529.58873733724
201,-50111309.37006645
202,-112565.50566809978
203,-112529.58873733724
204,-112529.58873733724
205,-112529.58873733724
206,-112529.58873733724
207,-112529.58873733724
208,-50110213.59084579
209,-50111257.11810928
210,-50111610.219496295
211,-112529.58873733724
212,-112529.58873733724
213,-112529.58873733724
214,-112529.58873733724
215,-112529.58873733724
216,-50109567.42479666
